Os Name,WS#,Long WS#,System Description,Printers,User Logged,Cs Domain
,,,,,,
Mac macOS 10.12 (x86_64),8468,8468,empty,,ciucad01,local
Mac macOS 10.12 (x86_64),8493,8493,empty,"UN_PU_C B&W-idle
UN_PU_CC-idle",huintr01,lc.luther.edu
Mac macOS 10.12 (x86_64),8494,8494,empty,,hughesma,local
Mac macOS 10.12 (x86_64),8899,8899,empty,"LO_DA_E-idle
LO_DA_G-idle
LO_DA_GC-idle",odegaard,local
Mac macOS 10.12 (x86_64),9650,9650,empty,326 A-idle,yasiro01,lc.luther.edu
Mac macOS 10.12 (x86_64),BEAZ,BEAZ,empty,"HP Deskjet 2510 series-offline
SH_375_A-idle
SH_375_B-idle",wilkmo01,local
Mac macOS 10.12 (x86_64),SLCDL,SLCDL,empty,"Photosmart 7520 series [959365]-idle
Photosmart 7520 series [959365] (Fax)-stopped
Student Life Copier-idle",landco01,local
Mac OS X 10.10.2 (x86_64),8246,8246,empty,"Brother HL-2270DW series @ Home iMac (2)-idle
Canon MP210 series @ Rachel  Sandhorst���������s Computer-idle
HP Deskjet 1000 J110 series-offline
HP LaserJet 1020-offline
VA_372B_A Ricoh SP3510-idle
VA_377_A-idle",jensjo01,local
Mac OS X 10.10.4 (x86_64),2015-Lab-Yosemite_v1,2015-Lab-Yosemite_v1,empty,"Library 2nd Floor Double Sided-idle
Library 2nd Floor Single Sided-idle",knutal01,local
Mac OS X 10.10.4 (x86_64),5246,5246,empty,"Koren 121 Double-Sided-idle
Koren 121 Single Sided-idle",helpdesk,local
Mac OS X 10.10.4 (x86_64),5247,5247,empty,"Koren 1st Double Sided-idle
Koren 1st Single Sided-idle",heikva01,local
Mac OS X 10.10.5 (x86_64),#### (2),#### (2),empty,Olin 202-idle,mcneky01,lc.luther.edu
Mac OS X 10.10.5 (x86_64),2015-FS-Yosemite-v1,2015-FS-Yosemite-v1,empty,"B&W PIG-idle
COLOR PIG-idle
Conica Monica-idle
Hallway-idle
HP Deskjet F4400 series-offline",lastan01,local
Mac OS X 10.10.5 (x86_64),4244,4244,empty,"Preus 1st Floor-idle
Preus 2nd Floor A-idle
Preus 2nd Floor B-idle",lab,local
Mac OS X 10.10.5 (x86_64),4246,4246,empty,"Preus 1st Floor-idle
Preus 2nd Floor A-idle
Preus 2nd Floor B-idle",lab,local
Mac OS X 10.10.5 (x86_64),4494,4494,empty,CA_111_A-idle,sahila01_sw,local
Mac OS X 10.10.5 (x86_64),4540,4540,empty,RC_AT_B-idle,blanchda,dynamic.luther.edu
Mac OS X 10.10.5 (x86_64),4815,4815,empty,"Pro 8100s-idle
Ricoh SP5210 (small copier)-idle",mortma02,local
Mac OS X 10.10.5 (x86_64),4816,4816,empty,"11.22.33.44-idle
CHIPS-idle",chips,local
Mac OS X 10.10.5 (x86_64),4914,4914,empty,,huinda01,local
Mac OS X 10.10.5 (x86_64),5077,5077,empty,,helpdesk,local
Mac OS X 10.10.5 (x86_64),5086,5086,empty,,truebr01_sw,local
Mac OS X 10.10.5 (x86_64),5092,5092,empty,Turkey Valley Room 405-idle,loweka02,local
Mac OS X 10.10.5 (x86_64),5097,5097,empty,Central Library-idle,bergte01,local
Mac OS X 10.10.5 (x86_64),5102,5102,empty,,helpdesk,local
Mac OS X 10.10.5 (x86_64),5223,5223,empty,,truebr01_sw,local
Mac OS X 10.10.5 (x86_64),5225,5225,empty,,helpdesk,local
Mac OS X 10.10.5 (x86_64),5240,5240,empty,,doccenter,local
Mac OS X 10.10.5 (x86_64),5242,5242,empty,,hughesma,local
Mac OS X 10.10.5 (x86_64),5245,5245,empty,"CA 111 A-idle
HP DESKJET 840C-idle",suhrab01,local
Mac OS X 10.10.5 (x86_64),5256,5256,empty,CHIPS-idle,chips,local
Mac OS X 10.10.5 (x86_64),5412,5412,empty,ELM Library-idle,mucire01,local
Mac OS X 10.10.5 (x86_64),5413,5413,empty,,helpdesk,local
Mac OS X 10.10.5 (x86_64),5431,5431,empty,Olin 202-idle,stekza01,local
Mac OS X 10.10.5 (x86_64),5435,5435,empty,Olin 202-idle,hankse01,lc.luther.edu
Mac OS X 10.10.5 (x86_64),5436,5436,empty,Olin 202-idle,barbpe01,local
Mac OS X 10.10.5 (x86_64),5437,5437,empty,Olin 202-idle,kittam02,lc.luther.edu
Mac OS X 10.10.5 (x86_64),5439,5439,empty,Olin 202-idle,helpdesk,local
Mac OS X 10.10.5 (x86_64),5446,5446,empty,"Conference Room RC_AT_C-stopped
Jan's Office RC_AT_D-idle",fordmo02,local
Mac OS X 10.10.5 (x86_64),5450,5450,empty,,helpdesk,local
Mac OS X 10.10.5 (x86_64),5452,5452,empty,"HP LaserJet P3010 Series-idle
Kyocera ECOSYS P6021cdn-idle",henksh01,local
Mac OS X 10.10.5 (x86_64),5454,5454,empty,,allbla01,hitronhub.home
Mac OS X 10.10.5 (x86_64),5487,5487,empty,Olin 202-idle,saudih01,local
Mac OS X 10.10.5 (x86_64),6840,6840,empty,CA_111_A-idle,newcsk01,local
Mac OS X 10.10.5 (x86_64),6841,6841,empty,"B&W_CA_111_A-idle
B&W FAC-idle
COLOR_CA_111_A-idle
COLOR FAC-idle",putnpa01_sw,local
Mac OS X 10.10.5 (x86_64),7050,7050,empty,,fretpa01_sw,local
Mac OS X 10.10.5 (x86_64),7058,7058,empty,CHIPS-idle,chips,dynamic.luther.edu
Mac OS X 10.10.5 (x86_64),7059,7059,empty,CHIPS-idle,chips,dynamic.luther.edu
Mac OS X 10.10.5 (x86_64),7060,7060,empty,CHIPS-idle,chips,dynamic.luther.edu
Mac OS X 10.10.5 (x86_64),7061,7061,empty,CHIPS-idle,chips,local
Mac OS X 10.10.5 (x86_64),7062,7062,empty,CHIPS-idle,chips,dynamic.luther.edu
Mac OS X 10.10.5 (x86_64),7088,7088,empty,,helpdesk,local
Mac OS X 10.10.5 (x86_64),7094,7094,empty,,helpdesk,local
Mac OS X 10.10.5 (x86_64),7100,7100,empty,"HP Deskjet F4200 series-offline
HP Deskjet F4200 series 2-offline
HP Deskjet F4400 series-offline
HP Photosmart C6200 series-offline
Jenson Hall Printer-idle
Jenson Minolta Copier-idle",hallka02,local
Mac OS X 10.10.5 (x86_64),7235,7235,empty,"Deskjet 2540 series-idle
HP Deskjet 2540 series-offline
MA_2nd_A-idle
MA_4thA-idle",kathruth,local
Mac OS X 10.10.5 (x86_64),7237,7237,empty,"HALLWAY-idle
Jenson-Noble 124-idle
MONICA-idle
Preus Library, Double-Sided-idle
Preus Library, Single-Sided-idle",shanni01,local
Mac OS X 10.10.5 (x86_64),7460,7460,empty,"VA_243_A B&W MPC300-idle
VA_243_AC COLOR MPC300-idle",edrija01,local
Mac OS X 10.10.5 (x86_64),7471,7471,empty,"COLOR Library printer-idle
Help Desk Printer-idle
Library Copier-idle",ericksro,local
Mac OS X 10.10.5 (x86_64),7493,7493,empty,,amunel03,local
Mac OS X 10.10.5 (x86_64),7502,7502,empty,,mccami04,local
Mac OS X 10.10.5 (x86_64),7503,7503,empty,"B&W CF_CM_C-idle
COLOR CF_CM_CC-idle
HP ENVY 4500 series-offline
HP LaserJet 6P-idle
HP LaserJet 6P-2-idle
Library 2 sided-idle
Music Office Copier-idle",schubr01,local
Mac OS X 10.10.5 (x86_64),7511,7511,empty,"HP Photosmart C4700 series-offline
Jensen Printer A-idle
Photosmart C4700 series-stopped",chesheml,local
Mac OS X 10.10.5 (x86_64),7515,7515,empty,"EPSON XP-400 Series-idle
KO_2nd_A-idle
KO_323_B-idle
MA_126_A-idle
MA_2ND_A-idle
Photosmart D110 series-idle",wilkieja,local
Mac OS X 10.10.5 (x86_64),7518,7518,empty,"HALLWAY-idle
MONICA-idle
PIG-idle",bortph01,local
Mac OS X 10.10.5 (x86_64),7527,7527,empty,"Copier B&W DEV-idle
Copier Color DEV-idle
Printer DEV-idle
EPSON XP-310 Series-idle
Alumni RICOH MPC3002-idle
Alumni COLOR RICOH MPC3002-idle",smithmar,local
Mac OS X 10.10.5 (x86_64),7528,7528,empty,,pascst01,local
Mac OS X 10.10.5 (x86_64),7531,7531,empty,"B&W CF_CM_C-idle
Brother HL-2170W series-offline
CF_CM_A-idle
CF_CP_A-idle
COLOR CF_CM_CC-idle
CP COLOR CF_CM_AC-stopped
HP ENVY 5660 series-offline
HP Officejet Pro L7500-offline",blairmic,local
Mac OS X 10.10.5 (x86_64),7548,7548,empty,UN_PI_A-idle,breebe01_sw,local
Mac OS X 10.10.5 (x86_64),7554,7554,empty,Union 213-idle,videobureau,dynamic.luther.edu
Mac OS X 10.10.5 (x86_64),7780,7780,empty,"Brandt-idle
Preus Library, Double-Sided-idle
UN_RL_A-idle",browte01,local
Mac OS X 10.10.5 (x86_64),7785,7785,empty,"big one-idle
little one-idle",tokhbe01,dynamic.luther.edu
Mac OS X 10.10.5 (x86_64),7786,7786,empty,"Temp UN_PU_A-idle
UN_PU_C B&W RICOH MPC2550-idle
UN_PU_CC COLOR Ricoh MPC2550-idle",bartmi03,dynamic.luther.edu
Mac OS X 10.10.5 (x86_64),7788,7788,empty,"HP ENVY 5530 series [629362]-idle
LO_DA_C B&W Ricoh MPC3002-idle
LO_DA_CC COLOR Ricoh MPC3002-idle
Photosmart 6510 series-offline
Ricoh Sp3510DN-idle",alcock,local
Mac OS X 10.10.5 (x86_64),7820,7820,empty,Olin 202-idle,ledu01,local
Mac OS X 10.10.5 (x86_64),8064,8064,empty,"Photosmart Prem C410 series-idle
VA_372B_A-idle
VA_377_A-idle",nealem01,local
Mac OS X 10.10.5 (x86_64),8240,8240,empty,,helpdesk,lc.luther.edu
Mac OS X 10.10.5 (x86_64),8242,8242,empty,"VA_372B_A-idle
VA_377_A-idle",cocaar01,local
Mac OS X 10.10.5 (x86_64),8251,8251,empty,"Brother HL-2280DW-idle
Dell Color-idle
hp psc 1300 series-offline
By Brenda-idle",kraula01,local
Mac OS X 10.10.5 (x86_64),8252,8252,empty,"B&W UN_AR_A-idle
Canon MX860 series-offline
COLOR UN_AR_AC-idle
HP LaserJet P3010 Series-offline
UN_PR_C RICOH MP3350-idle",carlsonp,local
Mac OS X 10.10.5 (x86_64),8253,8253,empty,"VA_372B_A-idle
Valders 377-idle",stumma01,local
Mac OS X 10.10.5 (x86_64),8254,8254,empty,Olin 202-idle,shaftr01,local
Mac OS X 10.10.5 (x86_64),8255,8255,empty,Olin 202-idle,arthgi01,local
Mac OS X 10.10.5 (x86_64),8256,8256,empty,Olin 202-idle,honzke01,local
Mac OS X 10.10.5 (x86_64),8257,8257,empty,Olin 202-idle,lopepa01,local
Mac OS X 10.10.5 (x86_64),8258,8258,empty,Olin 202-idle,imoewi01,local
Mac OS X 10.10.5 (x86_64),8259,8259,empty,Olin 202-idle,andeca10,local
Mac OS X 10.10.5 (x86_64),8260,8260,empty,Olin 202-idle,beyeas01,local
Mac OS X 10.10.5 (x86_64),8261,8261,empty,Olin 202-idle,kainty01,local
Mac OS X 10.10.5 (x86_64),8262,8262,empty,Olin 202-idle,nguyli03,local
Mac OS X 10.10.5 (x86_64),8263,8263,empty,Olin 202-idle,kittam02,local
Mac OS X 10.10.5 (x86_64),8264,8264,empty,Olin 202-idle,bevani01,local
Mac OS X 10.10.5 (x86_64),8265,8265,empty,Olin 202-idle,boeytr01,local
Mac OS X 10.10.5 (x86_64),8266,8266,empty,Olin 202-idle,vannjo02,local
Mac OS X 10.10.5 (x86_64),8267,8267,empty,Olin 202-idle,mcgime01,local
Mac OS X 10.10.5 (x86_64),8268,8268,empty,Olin 202-idle,mcgime01,local
Mac OS X 10.10.5 (x86_64),8269,8269,empty,Olin 202-idle,reesau01,local
Mac OS X 10.10.5 (x86_64),8270,8270,empty,Olin 202-idle,conzty01,local
Mac OS X 10.10.5 (x86_64),8271,8271,empty,Olin 202-idle,donnma01,local
Mac OS X 10.10.5 (x86_64),8272,8272,empty,Olin 202-idle,akomcl01,local
Mac OS X 10.10.5 (x86_64),8273,8273,empty,Olin 202-idle,bousma01,local
Mac OS X 10.10.5 (x86_64),8274,8274,empty,Olin 202-idle,smitma09,local
Mac OS X 10.10.5 (x86_64),8275,8275,empty,Olin 202-idle,mcgime01,local
Mac OS X 10.10.5 (x86_64),8276,8276,empty,Olin 202-idle,liviky01,local
Mac OS X 10.10.5 (x86_64),8277,8277,empty,Olin 202-idle,klinth01,local
Mac OS X 10.10.5 (x86_64),8278,8278,empty,Olin 202-idle,liviky01,local
Mac OS X 10.10.5 (x86_64),8279,8279,empty,Olin 202-idle,mcmijo01,local
Mac OS X 10.10.5 (x86_64),8280,8280,empty,Olin 202-idle,jungal01,local
Mac OS X 10.10.5 (x86_64),8282,8282,empty,Olin 202-idle,tarees01,local
Mac OS X 10.10.5 (x86_64),8283,8283,empty,Olin 202-idle,founma01,local
Mac OS X 10.10.5 (x86_64),8284,8284,empty,Olin 202-idle,founma01,local
Mac OS X 10.10.5 (x86_64),8285,8285,empty,,helpdesk,local
Mac OS X 10.10.5 (x86_64),8285,8285,empty,Olin 202-idle,millbr02,local
Mac OS X 10.10.5 (x86_64),8309,8309,empty,"B&W Vulture's Roost-idle
COLOR Vulture's Roost-idle
Faculty SHL 190-idle",bohmst01,dynamic.luther.edu
Mac OS X 10.10.5 (x86_64),8317,8317,empty,OL_326_A-idle,occhth01,local
Mac OS X 10.10.5 (x86_64),8471,8471,empty,"JN_207_A-idle
JN_210_A-idle
PIG-idle
PIG1-idle",schoka02,local
Mac OS X 10.10.5 (x86_64),8472,8472,empty,"Conference Room RC_AT_C-idle
HP Deskjet D2500 series-offline
Jan's Office RC_AT_D-idle
Kari's office HP 4200 RC_AT_B-idle
Legends Center RC_LC_A-idle",garcch01,local
Mac OS X 10.10.5 (x86_64),8476,8476,empty,"Hallway-idle
Monica-idle
PIG-idle",kreuca01,local
Mac OS X 10.10.5 (x86_64),8478,8478,empty,,howaan02,local
Mac OS X 10.10.5 (x86_64),8480,8480,empty,RC_AT_D-idle,olsote01,local
Mac OS X 10.10.5 (x86_64),8481,8481,empty,"Conference Room-idle
Jan-idle
Kari-idle",pascst01,local
Mac OS X 10.10.5 (x86_64),8485,8485,empty,"Canon MG3200 series-offline
EPSON XP-400 Series-C123A5-11-stopped
Regents 105 Printer-idle
Regents Room 11 Printer-idle
Richoh MP 5001-idle",hafnaa01,local
Mac OS X 10.10.5 (x86_64),8492,8492,empty,"RC_AQ_A-idle
RC_AT_D Jan's Office-idle",nicobe01,local
Mac OS X 10.10.5 (x86_64),8495,8495,empty,EPSON WF-3620 Series-idle,govede01,local
Mac OS X 10.10.5 (x86_64),8547,8547,empty,"B&W UN_AR_A SP430dn-idle
COLOR UN_AR_AC SP430dn-idle
UN_PR_C-idle",larsro01,local
Mac OS X 10.10.5 (x86_64),8548,8548,empty,"Deskjet 3510 series-idle
UN_ST_A-idle",blocan02,local
Mac OS X 10.10.5 (x86_64),8550,8550,empty,HP DESKJET 840C-idle,hansca01,local
Mac OS X 10.10.5 (x86_64),8551,8551,empty,"Brother HL-4040CDN series-idle
OL_113_A-idle
UN_CC_A HP 4200-idle
UN_CC_C Ricoh MP 201-idle",ranubr01,local
Mac OS X 10.10.5 (x86_64),8552,8552,empty,"B&W UN_AR_A-idle
COLOR UN_AR_AC-idle
HP Officejet J4680 series-offline
HP Photosmart C5200 series-offline
HP Photosmart C5200 series-2-offline
UN_PR_C Ricoh Copier-idle",hibbna01,PK5001Z
